"subject_id" "activity_type" "timeseriesBodyAcc-Mean_X-axis" "timeseriesBodyAcc-Mean_Y-axis" "timeseriesBodyAcc-Mean_Z-axis" "timeseriesBodyAcc-Stdev_X-axis" "timeseriesBodyAcc-Stdev_Y-axis" "timeseriesBodyAcc-Stdev_Z-axis" "timeseriesGravityAcc-Mean_X-axis" "timeseriesGravityAcc-Mean_Y-axis" "timeseriesGravityAcc-Mean_Z-axis" "timeseriesGravityAcc-Stdev_X-axis" "timeseriesGravityAcc-Stdev_Y-axis" "timeseriesGravityAcc-Stdev_Z-axis" "timeseriesBodyAccJerk-Mean_X-axis" "timeseriesBodyAccJerk-Mean_Y-axis" "timeseriesBodyAccJerk-Mean_Z-axis" "timeseriesBodyAccJerk-Stdev_X-axis" "timeseriesBodyAccJerk-Stdev_Y-axis" "timeseriesBodyAccJerk-Stdev_Z-axis" "timeseriesBodyGyro-Mean_X-axis" "timeseriesBodyGyro-Mean_Y-axis" "timeseriesBodyGyro-Mean_Z-axis" "timeseriesBodyGyro-Stdev_X-axis" "timeseriesBodyGyro-Stdev_Y-axis" "timeseriesBodyGyro-Stdev_Z-axis" "timeseriesBodyGyroJerk-Mean_X-axis" "timeseriesBodyGyroJerk-Mean_Y-axis" "timeseriesBodyGyroJerk-Mean_Z-axis" "timeseriesBodyGyroJerk-Stdev_X-axis" "timeseriesBodyGyroJerk-Stdev_Y-axis" "timeseriesBodyGyroJerk-Stdev_Z-axis" "fourierseriesBodyAcc-Mean_X-axis" "fourierseriesBodyAcc-Mean_Y-axis" "fourierseriesBodyAcc-Mean_Z-axis" "fourierseriesBodyAcc-Stdev_X-axis" "fourierseriesBodyAcc-Stdev_Y-axis" "fourierseriesBodyAcc-Stdev_Z-axis" "fourierseriesBodyAccJerk-Mean_X-axis" "fourierseriesBodyAccJerk-Mean_Y-axis" "fourierseriesBodyAccJerk-Mean_Z-axis" "fourierseriesBodyAccJerk-Stdev_X-axis" "fourierseriesBodyAccJerk-Stdev_Y-axis" "fourierseriesBodyAccJerk-Stdev_Z-axis" "fourierseriesBodyGyro-Mean_X-axis" "fourierseriesBodyGyro-Mean_Y-axis" "fourierseriesBodyGyro-Mean_Z-axis" "fourierseriesBodyGyro-Stdev_X-axis" "fourierseriesBodyGyro-Stdev_Y-axis" "fourierseriesBodyGyro-Stdev_Z-axis"
"1" "1" "WALKING" 0.273610687989474 -0.0153028024071579 -0.119022382621053 -0.436071018105263 -0.396283057892632 -0.33609452524 0.882465659578947 -0.0189956395789474 -0.2731586388 -0.963955542105263 -0.950134644947368 -0.930647829157895 0.0708452402810526 0.00895225547515789 0.0141352370831579 -0.564213599178947 -0.549438143305263 -0.655811012421053 0.0342854418368421 -0.0496421035168421 0.0334286149252632 -0.626428071157895 -0.682412019578947 -0.557319643515789 -0.127378840434211 -0.0402911240998947 -0.0502311715852632 -0.766919055263158 -0.796494208315789 -0.763908739894737 -0.522465151768421 -0.443044689612211 -0.461701594939158 -0.406264424421053 -0.412471511936842 -0.325000813106316 -0.590199912315789 -0.574770304294737 -0.627406389294737 -0.576422811721895 -0.552438688069474 -0.683065290631579 -0.63019151532 -0.704833843157895 -0.611378487789474 -0.631276113894737 -0.674005258736842 -0.583421814052632
"2" "1" "WALKING_UPSTAIRS" 0.277068529056604 -0.017269475445283 -0.106081354433962 -0.993545257735849 -0.979607453396226 -0.981477272264151 0.907284107924528 -0.168875811188679 -0.0383102649433962 -0.989420692830189 -0.985383449245283 -0.981390010377359 0.0751451756226415 0.00971987818943396 -0.00298217693924528 -0.99403470245283 -0.986617126226415 -0.990905594150943 -0.0355687609849057 -0.0587871354528302 0.0916992316415094 -0.987514794339623 -0.984892898867925 -0.989762829245283 -0.0960495096603774 -0.043194959 -0.0571747721320755 -0.993900081698113 -0.994851310566038 -0.99446262 -0.993385031698113 -0.980709431132075 -0.985628245660377 -0.993617519433962 -0.979442175660377 -0.979856309056604 -0.994075273773585 -0.98641812245283 -0.989161118679245 -0.994529321132075 -0.987868344528302 -0.991250494339623 -0.986018960566038 -0.987941627169811 -0.988780373018868 -0.988066613207547 -0.983435199433962 -0.99109324490566
"3" "1" "WALKING_DOWNSTAIRS" 0.28025753755102 -0.0152443743795918 -0.104200497734694 -0.989998413673469 -0.950587365102041 -0.959600607755102 0.935896376734694 -0.0115206613061225 -0.127121074918367 -0.987897778367347 -0.971309063061224 -0.964250737142857 0.0744479366122449 0.0124919087305918 -0.00368500453408163 -0.990163978571429 -0.981204027142857 -0.987791629183673 -0.0297755423469388 -0.0796709120408163 0.0890456382081633 -0.975076397346939 -0.97917290244898 -0.979155145102041 -0.0995853516734694 -0.0387113534697959 -0.0549302152734694 -0.988247351020408 -0.992964563673469 -0.992048393877551 -0.989379955714286 -0.962736507142857 -0.973027332653061 -0.990343197755102 -0.947761177346939 -0.955639991428571 -0.990227735510204 -0.981013959387755 -0.985860690408163 -0.99100668877551 -0.982923945306122 -0.988312889387755 -0.97465817755102 -0.983131993877551 -0.981045649795918 -0.975589899795918 -0.97717276122449 -0.980380073265306
"4" "1" "SITTING" 0.279345167659574 -0.0189742172534043 -0.106542568234043 -0.53651805212766 -0.439212547021277 -0.351852181553191 0.636105154680851 -0.196322848851064 0.0361477472340426 -0.972444698297872 -0.969468289574468 -0.966639090851064 0.0852828681489362 0.0141210365129787 0.0112016705959574 -0.52829862787234 -0.529244907446809 -0.563679145744681 -0.00767479386680851 -0.0895298839 0.0828716535531915 -0.729071507659575 -0.708952908723404 -0.502787368723404 -0.100516632776596 -0.036217543312766 -0.0555236783106383 -0.743213854893617 -0.780621647659574 -0.661556547446808 -0.526571612978723 -0.444477566808511 -0.415437056382979 -0.540754418085106 -0.472051140425532 -0.368289942148936 -0.565144333404255 -0.554719745957447 -0.548490802340426 -0.531940783191489 -0.533621506808511 -0.577329867021277 -0.686537239361702 -0.709717926170213 -0.553384034042553 -0.743382696595745 -0.711286586170213 -0.533050299148936
"5" "1" "STANDING" 0.271259686037736 -0.0177595360290566 -0.10638483054717 -0.96809402 -0.943959421320755 -0.954148431509434 -0.0249844298679245 0.0231251676792453 0.771062527358491 -0.971067799245283 -0.975271998113208 -0.97075462754717 0.0771923988867925 0.0148813517498113 -0.00294262125198113 -0.979724511132075 -0.978398199622642 -0.980008753018868 -0.0199255440377358 -0.0978711175849057 0.0893703550188679 -0.975569473396226 -0.97327651 -0.975730724528302 -0.106723119849057 -0.0378610405886792 -0.0537005396226415 -0.983375185849057 -0.987130357924528 -0.988380117358491 -0.974205480943396 -0.962751998301887 -0.964838611509434 -0.966007556792453 -0.938936963962264 -0.951158036981132 -0.98151460490566 -0.979564636226415 -0.977407475471698 -0.979665603396226 -0.97870446754717 -0.981155400188679 -0.973069943584906 -0.977079259622642 -0.977892868490566 -0.976606862264151 -0.971551403962264 -0.977302451509434
"6" "1" "LAYING" 0.27691963896 -0.01876841351 -0.1189825022 -0.145152353546 -0.28966178878 -0.15484828045 0.7945208862 -0.12276463148 -0.1118619466 -0.9650221892 -0.9637414904 -0.9182749656 0.0950945657 -0.005590970362 -0.024233829626 -0.32254515836 -0.4260512908 -0.420728300262 -0.033660171628 -0.08148290228 0.088158423998 -0.5746158922 -0.5918795836 -0.4876829542 -0.1015325308502 -0.05001958741 -0.0489388912194 -0.6905444328 -0.6704750576 -0.6077791402 -0.221075709582 -0.3066102285 -0.21661934595 -0.1185809256276 -0.32639907663 -0.189591963326 -0.3593638264 -0.4519896308 -0.38281285196 -0.344925193736 -0.4370068432 -0.45733695572 -0.5419029882 -0.5724110134 -0.4696329686 -0.58913797 -0.609452897 -0.5433682018
"7" "2" "WALKING" 0.264158059423729 -0.0142648968589831 -0.132867407932203 -0.509112149322034 -0.264297883727119 -0.438812094864407 0.716629057474576 0.0197051617966102 -0.0275521648474576 -0.967689550169492 -0.972519971864407 -0.906103103915254 0.0703593080559322 0.0130479667762712 -0.013509183570678 -0.433338795664407 -0.306351049262712 -0.672632217457627 -0.0197591999542373 -0.0806679621440678 0.0970519886084746 -0.630353225254237 -0.371697475018644 -0.550805269661017 -0.105734999688136 -0.0384717386084746 -0.0469311299813559 -0.473309857288136 -0.553684678135593 -0.593348114067797 -0.476951528033898 -0.289525208401695 -0.518171594237288 -0.52342328559322 -0.298307767364746 -0.442345699542373 -0.469901872032373 -0.369959840943068 -0.645711988983051 -0.446168849576271 -0.283635945594576 -0.69842059559322 -0.538811471338983 -0.41118246730678 -0.497914789830508 -0.660365479322034 -0.354038103132203 -0.611020690508475
"8" "2" "WALKING_UPSTAIRS" 0.274444646041667 -0.0147649101372917 -0.110157792447917 -0.145698184102688 0.0234994629833333 -0.222873406645833 0.92726904625 -0.28815577 -0.06781748991875 -0.957572627916667 -0.949318606458333 -0.905460444791667 0.0814189211875 0.0488162369583333 -0.0144899703125 -0.10205241525625 -0.0830571051020833 -0.441493020291667 -0.04977378046875 -0.0714990422916667 0.0911699524635417 -0.476781349041667 -0.0685752562375 -0.262400326875 -0.064533358369375 -0.049329631325 -0.0306708243458333 -0.404302174520833 -0.282089157208333 -0.38280012983125 -0.10975843601875 0.0147141894866667 -0.294725069166667 -0.16304382580625 -0.0391665870625 -0.252794216604167 -0.138613013110417 -0.13633833085625 -0.39876025875 -0.145543105772917 -0.0875011073458333 -0.482710527083333 -0.367486491391667 -0.0736794324541667 -0.181281566452083 -0.5145053283125 -0.0800379290041667 -0.359262847708333
"9" "2" "WALKING_DOWNSTAIRS" 0.283358960638298 -0.016052593287234 -0.110098585489362 -0.257362790234043 0.0887146321042553 -0.277130061276596 0.935768794468085 -0.275743272765957 -0.0677446734255319 -0.971163839787234 -0.966472108297872 -0.939306361276596 0.0838135600787234 0.0256309492319149 0.0188501057361702 -0.113038482068085 0.0428072126531915 -0.494186010638298 -0.059131509047234 -0.0548503381191489 0.0802128899340425 -0.46810132893617 -0.0829775743946809 -0.312942916021277 -0.0879778444085106 -0.0333498834680851 -0.0567017234851064 -0.254144505425532 -0.307598431787234 -0.392210728723404 -0.188563853404255 0.0819074662702128 -0.337844606170213 -0.288153524582979 0.022302126363617 -0.301728520212766 -0.156563355234043 -0.0505474067617021 -0.461068080638298 -0.147009077021277 0.0740860962531915 -0.525353132765957 -0.343176639489362 -0.111433411604255 -0.222148530425532 -0.508825687446809 -0.0737121541085106 -0.409072146808511
"10" "2" "SITTING" 0.267572322934783 -0.00701317504847826 -0.10635786423913 -0.981658229130435 -0.945859565 -0.961947485652174 0.768182340869565 0.012057297173913 0.209002620221739 -0.969195584782609 -0.95563076826087 -0.968758440434783 0.0769417441956522 0.00274821553413043 -0.00575311725343478 -0.98819531826087 -0.981684361086957 -0.99030344673913 -0.0326004820782609 -0.0793970927608696 0.0772716283043478 -0.98026691826087 -0.976047004782609 -0.95411676826087 -0.10027649426087 -0.0398545786956522 -0.0496924456369565 -0.991925574130435 -0.990809894130435 -0.989730242826087 -0.984053417826087 -0.958793282391304 -0.975945873695652 -0.980868865434783 -0.942807918695652 -0.957704881304348 -0.988404022391304 -0.98177523326087 -0.988834011304348 -0.989051485434783 -0.982933457826087 -0.990316203043478 -0.979904001956522 -0.981178860869565 -0.961030463913043 -0.980644738913043 -0.973784978695652 -0.956284510217391
